 Aux Cayes                  |18.200000|-73.750000||
 Cap Haitien                |19.750000|-72.200000||
 Port-au-Prince             |18.533300|-72.333300| Renamed Port Republican during the Haitian Revolution.|
 Kingston                   |17.992700|-76.792000||
 Ponce                      |17.996000|-66.620800||
 San Juan                   |18.466500|-66.118300||
 Antigua Island             |17.074700|-61.817500| Need more research to find out where on the island the consul was posted.|
 St. Kitts Island           |17.250000|-62.666700| Need more research to discover where on the island the consul was posted.|
 Basse-Terre                |15.995800|-61.729200||
 Bridgetown                 |13.093500|-59.610500||
 Curacao Island             |12.116700|-68.933300| More research will be required to determine where on the island the consul was posted.|
 Nassau                     |25.066100|-77.339000||
 Turks Island               |21.472200|-71.138900| Alternate name -- Grand Turk Island|
 St. Bartholomew Island     |17.900000|-62.833300| Alternate names -- Saint Barthelemy or St. Barts|
 St. Croix                  |17.750000|-64.750000||
 St. Thomas                 |18.333300|-64.916700||
 St. Eustatius Island       |17.483300|-62.983300| Alternate Spelling -- Sint Eustatius or Saint Eustatia|
 St. Pierre                 |14.741700|-61.175800||
 Trinidad Island            |10.460600|-61.248600| More research is needed to determine where the consul was posted on the island.|
 Acapulco                   |16.850000|-99.916700||
 Aquatulco                  |15.750000|-96.133300| I think this is Port Guatulco in Oaxaca - but more research will be required to determine if this is a correct assumption.|
 Campeche                   |19.850000|-90.530000||
 Chihuahua                  |28.630000|-106.080000||
 Mexico                     |19.409500|-99.130700| These are the coordinates for Mexico City - which is where I believe the agent was supposed to go - but more research is required.|
 Tampico                    |22.255300|-97.868600||
 Vera Cruz                  |19.184800|-96.129600| Alternate Spelling – Veracruz|
 Guatemala                  |14.633300|-90.500000| These are the coordinates for Guatemala City - the capital.  However - more research is required to determine exactly where the officer was posted.|
 Angostura (Ciudad Bolivar) |8.122000|-63.550000|                                                                                                                                                                                               |
 Bogota                     |4.598060|-74.075800||
 Panama                     |8.983330|-79.516700| These are the coordinates for Panama City - but more research is required.|
 Santa Marta                |11.241900|-74.205300||
 Caracas                    |10.520700|-66.924500||
 Laguayra                   |10.600000|-66.933100| Modern Spelling -- La Guiara|
 Maracaibo                  |10.653900|-71.640600||
 Puerto Cabello             |10.466700|-68.016700||
 Demerara                   |6.800000|-58.166700| These are the coordinates for Georgetown the capital city of modern day Guyana - which is located in the Demerara-Mahaica region.  More research is needed to pinpoint the officer's location.|
 Cayenne                    |4.922700|-52.326900||
 Paramaribo                 |5.866670|-55.166700||
 Guayaquil                  |-2.183330|-79.883300||
 Lima                       |-12.043300|-77.028300||
 Maranhao Island            |-2.583300|-44.299200| These are the coordinates for Sao Luis - the capital city of the Brazilian state of Maranhao - located on Sao Luis island.  More research is required.|
 Pernambuco (Recife)        |-8.054300|-34.881300| Probably should change the name to Recife - which is the city.  Pernambuco is the region.|
 Rio de Janeiro             |-22.903500|-43.209600||
 Salvador da Bahia          |-12.974700|-38.476800||
 Valparaiso                 |-33.050000|-71.616700||
 Montevideo                 |-34.893700|-56.157300||
 Buenos Aires               |-34.611800|-58.417300||
Santiago de Cuba|20.019833|-75.813917||
